id,lnTE.WT,wt_TE,geneSymbol,Nm_AUG_status
uc002dlx.1,0.48772295,1.628603583,PALB2,AUG
uc002dly.2,-0.195755113,0.822213559,DCTN5,AUG
uc002dlz.1,0.624939829,1.868133547,PLK1,AUG
uc002dmh.3,0.639214285,1.894991371,RBBP6,AUG
uc002dnb.3,1.085601961,2.961221822,ARHGAP17,AUG
uc002dnx.1,1.121670991,3.069979828,LCMT1,AUG
uc002doi.1,0.871641804,2.390832912,NSMCE1,AUG
uc002dov.2,0.515484888,1.674450226,GTF3C1,AUG
uc002dpa.2,-0.59849717,0.549637027,XPO6,AUG
uc002dpp.3,0.618537303,1.856210981,CLN3,AUG
uc002dqf.3,1.395026488,4.035081452,CCDC101,AUG
uc002dqy.4,0.999457474,2.71680749,ATXN2L,AUG
uc002drh.2,-0.027424152,0.972948476,TUFM,AUG
uc002dru.3,-4.206228528,0.014902467,NFATC2IP,AUG
uc002dto.3,0.519801674,1.681694093,QPRT,AUG
uc002dts.4,0.672153193,1.958449704,KIF22,AUG
uc002dtx.4,-1.357723913,0.257245625,MAZ,AUG
uc002dug.4,-0.778355728,0.459160375,PAGR1,AUG
uc002dui.3,1.042927882,2.837512766,MVP,AUG
uc002dum.3,0.344672031,1.411526907,CDIPT,AUG
uc002dut.3,1.062987353,2.895006491,ASPHD1,AUG
uc002dve.3,1.262837637,3.535439561,HIRIP3,AUG
uc002dvg.1,0.989136082,2.68891047,INO80E,AUG
uc002dwf.3,0.550908569,1.734828513,PPP4C,AUG
uc002dws.3,1.063146968,2.895468614,MAPK3,AUG
uc002dxs.3,0.823062226,2.277463278,CD2BP2,AUG
uc002dxu.2,1.208693846,3.349107344,TBC1D10B,AUG
uc002dyf.3,0.825799462,2.283705772,DCTPP1,AUG
uc002dyk.4,1.151226899,3.162070071,ZNF768,AUG
uc002dze.1,0.637620226,1.891973049,SRCAP,AUG
uc002dzq.3,0.472406416,1.603849081,RNF40,AUG
uc002ead.1,1.130158509,3.096147228,SETD1A,AUG
uc002eak.4,1.589068749,4.899184433,STX4,AUG
uc002eas.3,0.668586878,1.951477695,VKORC1,AUG
uc002eaw.5,0.940696855,2.561765976,BCKDK,AUG
uc002eax.3,0.955421792,2.599766913,KAT8,AUG
uc002ebe.2,1.443231199,4.234355782,FUS,AUG
uc002eci.3,0.907369898,2.477797097,C16orf58,AUG
uc002eec.4,0.427727995,1.533768831,SHCBP1,AUG
uc002eef.4,-0.263122792,0.768647508,VPS35,AUG
uc002eeh.3,0.586390887,1.797489352,ORC6,AUG
uc002eel.3,0.973288922,2.646634736,GPT2,AUG
